Номер заказа;Номер отправления;Дата отгрузки;Сумма отправления;OZON id;Ваша цена;Оплачено покупателем;Цена товара до скидок;Скидка %;Скидка руб
0115113106-0033;0115113106-0033-1;14.03.2025 13:00;8035.00;1363993554;8035.00;6303.00;15398.00;48%;7363.00
91727286-0094;91727286-0094-1;14.03.2025 13:00;14000.00;1078999549;14000.00;10883.00;20774.00;33%;6774.00
0197766756-0003;0197766756-0003-1;14.03.2025 13:00;27060.00;1325921922;27060.00;23063.00;38184.00;29%;11124.00
77197500-0315;77197500-0315-1;14.03.2025 13:00;8233.00;1388975716;8233.00;6072.00;15398.00;47%;7165.00
24110332-0171;24110332-0171-4;13.03.2025 13:00;8035.00;1363993554;8035.00;6272.00;15398.00;48%;7363.00
64911867-0402;64911867-0402-2;12.03.2025 13:00;42842.00;986666355;42842.00;33166.00;68319.00;37%;25477.00
76689121-0037;76689121-0037-1;12.03.2025 13:00;6850.00;1232919540;6850.00;5446.00;7998.00;14%;1148.00
0130947012-0149;0130947012-0149-1;12.03.2025 13:00;18209.00;985165859;18209.00;14479.00;46418.00;61%;28209.00
0130947012-0148;0130947012-0148-1;12.03.2025 13:00;21300.00;985165859;21300.00;16916.00;46418.00;54%;25118.00
17796629-0183;17796629-0183-1;11.03.2025 13:00;19900.00;1606602149;19900.00;15066.00;44557.00;55%;24657.00
76640641-0083;76640641-0083-1;11.03.2025 13:00;26300.00;1338292056;26300.00;22197.00;43678.00;40%;17378.00
0107283723-0078;0107283723-0078-1;11.03.2025 13:00;7000.00;1720555710;7000.00;5491.00;15073.00;54%;8073.00
60100769-0158;60100769-0158-1;10.03.2025 13:00;20400.00;955086816;20400.00;16094.00;46343.00;56%;25943.00
0151010127-0041;0151010127-0041-1;10.03.2025 13:00;21500.00;1083302078;21500.00;17948.00;24963.00;14%;3463.00
0148428813-0015;0148428813-0015-1;10.03.2025 13:00;8233.00;1388975716;8233.00;6356.00;11966.00;31%;3733.00
37116438-0296;37116438-0296-1;09.03.2025 13:00;6048.00;1233012563;6048.00;4415.00;8756.00;31%;2708.00
0144235827-0022;0144235827-0022-2;08.03.2025 13:00;21300.00;985165859;21300.00;16123.00;27330.00;22%;6030.00
44145253-0213;44145253-0213-2;08.03.2025 13:00;9196.00;1363993554;9196.00;7100.00;9681.00;5%;485.00
15557037-0142;15557037-0142-3;08.03.2025 13:00;16099.00;1351965762;16099.00;11558.00;20600.00;22%;4501.00
97985863-0051;97985863-0051-1;08.03.2025 13:00;20400.00;955086816;20400.00;15770.00;25715.00;21%;5315.00
73112520-0070;73112520-0070-1;08.03.2025 13:00;8269.00;1824444471;8269.00;6351.00;12300.00;33%;4031.00
89564726-0057;89564726-0057-1;07.03.2025 13:00;6048.00;1233012563;6048.00;4645.00;8756.00;31%;2708.00
0115911615-0032;0115911615-0032-1;06.03.2025 13:00;16500.00;1079018891;16500.00;13610.00;22454.00;27%;5954.00
46827078-0042;46827078-0042-1;06.03.2025 13:00;19024.00;985122721;19024.00;14920.00;24265.00;22%;5241.00
0137046340-0072;0137046340-0072-1;06.03.2025 13:00;14000.00;1078999549;14000.00;10810.00;20774.00;33%;6774.00
0134648012-0100;0134648012-0100-1;05.03.2025 13:00;47000.00;1619464475;47000.00;38143.00;65221.00;28%;18221.00
0176367308-0014;0176367308-0014-1;05.03.2025 13:00;20230.00;985186122;20230.00;15889.00;26330.00;23%;6100.00
0135181651-0250;0135181651-0250-1;05.03.2025 13:00;19900.00;1606602149;19900.00;15370.00;26330.00;24%;6430.00
16085861-0437;16085861-0437-3;05.03.2025 13:00;6600.00;1232993847;6600.00;5136.00;8275.00;20%;1675.00
0131730022-0139;0131730022-0139-1;04.03.2025 13:00;16800.00;985189781;16800.00;12976.00;22591.00;26%;5791.00
0138139565-0084;0138139565-0084-1;04.03.2025 13:00;16800.00;985189781;16800.00;13045.00;22591.00;26%;5791.00
0126722218-0344;0126722218-0344-1;04.03.2025 13:00;5697.00;1147625400;5697.00;4474.00;8584.00;34%;2887.00
83744594-0172;83744594-0172-1;03.03.2025 13:00;16800.00;985189781;16800.00;13045.00;22591.00;26%;5791.00
0196656618-0004;0196656618-0004-1;02.03.2025 13:00;14000.00;1079018891;14000.00;10919.00;17465.00;20%;3465.00
0191994764-0010;0191994764-0010-1;02.03.2025 13:00;13541.00;1266364538;13541.00;10532.00;22414.00;40%;8873.00
0147498824-0052;0147498824-0052-1;01.03.2025 13:00;12804.00;999667986;12804.00;9887.00;22414.00;43%;9610.00
0154848826-0113;0154848826-0113-1;01.03.2025 13:00;6500.00;1090644193;6500.00;5112.00;7998.00;19%;1498.00
42073711-0031;42073711-0031-3;01.03.2025 13:00;12804.00;999667986;12804.00;10638.00;22414.00;43%;9610.00
81141076-0300;81141076-0300-1;01.03.2025 13:00;16800.00;985189781;16800.00;13079.00;22591.00;26%;5791.00
86377701-0020;86377701-0020-1;01.03.2025 13:00;12804.00;999667986;12804.00;9958.00;22414.00;43%;9610.00
0169389329-0002;0169389329-0002-1;28.02.2025 13:00;18800.00;1606602149;18800.00;13740.00;26330.00;29%;7530.00
36424837-0155;36424837-0155-1;28.02.2025 13:00;18665.00;985032210;18665.00;14619.00;24782.00;25%;6117.00
36424837-0154;36424837-0154-1;28.02.2025 13:00;19646.00;985032210;19646.00;15157.00;25763.00;24%;6117.00
0151079135-0008;0151079135-0008-1;27.02.2025 13:00;12804.00;999667986;12804.00;11141.00;22414.00;43%;9610.00
0163312477-0008;0163312477-0008-1;27.02.2025 13:00;6048.00;1233002951;6048.00;4934.00;8756.00;31%;2708.00
33585074-0076;33585074-0076-2;27.02.2025 13:00;20000.00;955086816;20000.00;15676.00;25715.00;22%;5715.00
0138139565-0083;0138139565-0083-1;27.02.2025 13:00;18800.00;1606602149;18800.00;14753.00;26330.00;29%;7530.00
0162443094-0004;0162443094-0004-1;27.02.2025 13:00;21000.00;985165859;21000.00;17608.00;27330.00;23%;6330.00
0130588902-0027;0130588902-0027-1;27.02.2025 13:00;7000.00;1359397672;7000.00;5537.00;8332.00;16%;1332.00
55301149-0046;55301149-0046-1;27.02.2025 13:00;8000.00;1824444471;8000.00;6328.00;12300.00;35%;4300.00
0190695569-0002;0190695569-0002-1;26.02.2025 13:00;5374.00;1232919540;5374.00;4100.00;7998.00;33%;2624.00
91848860-0144;91848860-0144-1;26.02.2025 13:00;5512.00;1232870909;5512.00;4360.00;7998.00;31%;2486.00
79497872-0200;79497872-0200-1;26.02.2025 13:00;12326.00;1064626945;12326.00;9708.00;17465.00;29%;5139.00
72746658-0171;72746658-0171-1;26.02.2025 13:00;18800.00;1606602149;18800.00;14753.00;26330.00;29%;7530.00
0135537760-0052;0135537760-0052-1;26.02.2025 13:00;20128.00;985122721;20128.00;16248.00;25369.00;21%;5241.00
46827078-0040;46827078-0040-1;26.02.2025 13:00;18820.00;985122721;18820.00;15192.00;25269.00;26%;6449.00
66252987-0114;66252987-0114-1;26.02.2025 13:00;5051.00;1232919540;5051.00;3996.00;7998.00;37%;2947.00
0152078279-0061;0152078279-0061-1;25.02.2025 13:00;13541.00;1266364538;13541.00;11393.00;22414.00;40%;8873.00
55745709-0156;55745709-0156-2;25.02.2025 13:00;13541.00;1266364538;13541.00;10665.00;22414.00;40%;8873.00
52846934-0285;52846934-0285-2;25.02.2025 13:00;6048.00;1233015711;6048.00;5082.00;8756.00;31%;2708.00
92506074-0029;92506074-0029-1;25.02.2025 13:00;6048.00;1233015711;6048.00;172.83;8755.92;31%;2707.92
0108343817-0100;0108343817-0100-1;25.02.2025 13:00;20128.00;985122721;20128.00;16062.00;25369.00;21%;5241.00
0100259709-0086;0100259709-0086-1;25.02.2025 13:00;5374.00;1232919540;5374.00;4223.00;7998.00;33%;2624.00
78274759-0118;78274759-0118-1;25.02.2025 13:00;12804.00;999667986;12804.00;10002.00;22414.00;43%;9610.00
09433091-0153;09433091-0153-1;24.02.2025 13:00;15500.00;1351965762;15500.00;12048.00;20600.00;25%;5100.00
82106145-0170;82106145-0170-1;24.02.2025 13:00;19372.00;985165859;19372.00;15057.00;27330.00;29%;7958.00
66252987-0109;66252987-0109-1;24.02.2025 13:00;5374.00;1232919540;5374.00;4235.00;7998.00;33%;2624.00
0193868341-0003;0193868341-0003-4;24.02.2025 13:00;18248.00;985032210;18248.00;15232.00;25763.00;29%;7515.00
0144471006-0138;0144471006-0138-1;24.02.2025 13:00;5374.00;1232919540;5374.00;4528.00;7998.00;33%;2624.00
0149606437-0064;0149606437-0064-1;24.02.2025 13:00;14000.00;1007969678;14000.00;10917.00;20774.00;33%;6774.00
80314481-0022;80314481-0022-1;23.02.2025 13:00;5374.00;1232919540;5374.00;4528.00;7998.00;33%;2624.00
65287772-0145;65287772-0145-1;23.02.2025 13:00;7495.00;1388975716;7495.00;5519.00;11228.00;33%;3733.00
85831838-0009;85831838-0009-1;23.02.2025 13:00;6048.00;1233002951;6048.00;4766.00;8756.00;31%;2708.00
38348848-0059;38348848-0059-3;22.02.2025 13:00;8319.00;1255409796;8319.00;6556.00;8756.00;5%;437.00
79817511-0126;79817511-0126-1;22.02.2025 13:00;9196.00;1363993554;9196.00;7247.00;9681.00;5%;485.00
0132177543-0394;0132177543-0394-1;22.02.2025 13:00;14000.00;1007969678;14000.00;10906.00;20774.00;33%;6774.00
0192648580-0007;0192648580-0007-1;22.02.2025 13:00;5374.00;1232919540;5374.00;4220.00;7998.00;33%;2624.00
0127625649-0155;0127625649-0155-1;22.02.2025 13:00;19372.00;985165859;19372.00;15084.00;27330.00;29%;7958.00
0101982987-0039;0101982987-0039-1;22.02.2025 13:00;18248.00;985032210;18248.00;14209.00;25763.00;29%;7515.00
84867689-0026;84867689-0026-1;22.02.2025 13:00;18800.00;1606602149;18800.00;14111.00;26330.00;29%;7530.00
0150923571-0030;0150923571-0030-1;21.02.2025 13:00;18404.00;985165859;18404.00;14331.00;26362.00;30%;7958.00
0130651531-0030;0130651531-0030-1;21.02.2025 13:00;26440.00;1418098260;26440.00;22569.00;40672.00;35%;14232.00
0152909462-0023;0152909462-0023-1;21.02.2025 13:00;5374.00;1232919540;5374.00;5277.00;7998.00;33%;2624.00
43539534-0497;43539534-0497-1;19.02.2025 13:00;36472.00;1619227946;36472.00;29131.00;65820.00;45%;29348.00
0191045617-0040;0191045617-0040-3;19.02.2025 13:00;19000.00;955086816;19000.00;14843.00;25715.00;26%;6715.00
70475517-0079;70475517-0079-1;19.02.2025 13:00;19000.00;955086816;19000.00;14843.00;25715.00;26%;6715.00
46827078-0039;46827078-0039-1;19.02.2025 13:00;20028.00;985122721;20028.00;15904.00;25269.00;21%;5241.00
67917883-0016;67917883-0016-1;19.02.2025 13:00;5612.00;1720555710;5612.00;4373.00;8600.00;35%;2988.00
55498180-0110;55498180-0110-1;19.02.2025 13:00;5612.00;1720555710;5612.00;4215.00;8600.00;35%;2988.00
37396539-0543;37396539-0543-4;19.02.2025 13:00;12804.00;999667986;12804.00;9984.00;22414.00;43%;9610.00
0106138997-0046;0106138997-0046-1;19.02.2025 13:00;7000.00;1359397672;7000.00;5454.00;8332.00;16%;1332.00
0129683141-0119;0129683141-0119-1;19.02.2025 13:00;36652.00;986693525;36652.00;28642.00;50352.00;27%;13700.00
0131820663-0004;0131820663-0004-1;18.02.2025 13:00;14000.00;1078977856;14000.00;10835.00;20774.00;33%;6774.00
74627227-0138;74627227-0138-1;18.02.2025 13:00;5374.00;1232919540;5374.00;4184.00;7998.00;33%;2624.00
17171834-0488;17171834-0488-1;17.02.2025 13:00;12900.00;1079018891;12900.00;9984.00;17465.00;26%;4565.00
0131211138-0006;0131211138-0006-4;17.02.2025 13:00;5374.00;1232919540;5374.00;4474.00;7998.00;33%;2624.00
0172520709-0033;0172520709-0033-1;17.02.2025 13:00;15500.00;1351965762;15500.00;11945.00;20600.00;25%;5100.00
0125587151-0043;0125587151-0043-1;17.02.2025 13:00;5374.00;1232919540;5374.00;4033.00;7998.00;33%;2624.00
