sku,total_qty,total_rev,total_fee,total_payout,returns_qty,returns_rub,promo_cost,production_cost,production_cost_total,comb_cost,net_qty,net_revenue,margin,avg_price_per_unit,avg_net_price_per_unit,commission_per_unit,promo_per_unit,margin_per_unit,contribution_margin,break_even_price,margin_pct,returns_pct,promo_intensity_pct,avg_order_value,conversion_order_return,recommended_action,ordered_qty_promo_sum,unique_visitors_total_sum,unique_visitors_card_sum,ordered_amount_promo_sum,ordered_amount_sum,card_to_cart_conversion_mean,accrual_amount_sum,accrual_qty_sum,accrual_cost_per_unit,margin_adj,opening_stock,incoming,incoming_from_supplies,outgoing,outgoing_shipped,ending_stock,valid_stock_end,valid_stock_end,invalid_stock_end,average_inventory,cogs,inventory_turnover,ABC_class,XYZ_class
967621232,17,422228.0,100578.81999999999,454569.46,0.0,0.0,111.0,17967.0,305439.0,406128.82,17.0,422228.0,16099.179999999993,24836.941176470587,24836.941176470587,5916.401176470587,6.529411764705882,947.0105882352937,0.038129115075267374,23889.930588235293,3.8129115075267372,0.0,0.026289113938440842,33400.0,0.0,SCALE,130,128570,6051,4671096,4671096,0.0,2646888.07,1144,2313.7133479020977,2662987.25,26.0,163.0,112.0,149.0,112.0,40.0,40.0,40.0,0.0,33.0,305439.0,9255.727272727272,A,Z
975934905,2,62255.0,15118.56,68873.44,0.0,0.0,74.0,0.0,0.0,15192.56,2.0,62255.0,47062.44,31127.5,31127.5,7559.28,37.0,23531.22,0.7559624126576179,7596.28,75.59624126576179,0.0,0.11886595454180388,45530.666666666664,0.0,SCALE,3,65107,1851,136592,136592,0.0,104729.37000000001,33,3173.617272727273,151791.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,Z
985032210,13,182080.0,43193.16,196768.84,0.0,0.0,164.0,13946.0,181298.0,224655.16,13.0,182080.0,-42575.16,14006.153846153846,14006.153846153846,3322.5507692307697,12.615384615384615,-3275.012307692308,-0.23382666959578208,17281.166153846152,-23.38266695957821,0.0,0.09007029876977153,18611.833333333332,0.0,STOP,99,134374,4985,1942704,1942704,0.0,1201156.6,899,1336.1030033370412,1158581.4400000002,56.0,32.0,11.0,88.0,72.0,0.0,0.0,0.0,0.0,28.0,181298.0,6474.928571428572,A,Z
985122721,25,359254.0,87415.2,398224.8,2.0,38848.0,374.0,13177.0,329425.0,417214.2,23.0,320406.0,-96808.20000000001,14370.16,13930.695652173914,3496.6079999999997,14.96,-4209.052173913044,-0.2929022484031523,16688.568,-30.214228197973824,8.0,0.10410461678923547,20071.923076923078,15.384615384615385,STOP,306,184450,8986,6618110,6618110,0.0,4151599.54,2845,1459.2617012302285,4054791.34,23.0,246.0,205.0,228.0,200.0,41.0,41.0,41.0,0.0,32.0,303071.0,9470.96875,A,Z
985165859,40,593228.0,142053.48,649182.52,2.0,41200.0,1123.0,13815.0,552600.0,695776.48,38.0,552028.0,-143748.47999999998,14830.7,14527.052631578947,3551.3370000000004,28.075,-3782.8547368421046,-0.2550691967905833,17394.412,-26.040070431210005,5.0,0.1893032695692044,20267.827586206895,6.896551724137931,STOP,507,234545,14201,11005419,11005419,0.0,6515055.86,4507,1445.5415708897272,6371307.380000001,106.0,392.0,320.0,401.0,364.0,97.0,97.0,97.0,0.0,101.5,524970.0,5172.1182266009855,A,Z
985186122,15,219356.87,51880.32,236343.68,0.0,0.0,80.0,13951.0,209265.0,261225.32,15.0,219356.87,-41868.45000000001,14623.791333333333,14623.791333333333,3458.688,5.333333333333333,-2791.230000000001,-0.1908691074959267,17415.021333333334,-19.08691074959267,0.0,0.03647025051004785,19216.333333333332,0.0,STOP,77,111768,4593,1602742,1602742,0.0,1107633.02,744,1488.7540591397849,1065764.57,27.0,19.0,14.0,46.0,44.0,0.0,0.0,0.0,0.0,13.5,209265.0,15501.111111111111,A,X
985189781,34,356221.0,86535.72,394218.27999999997,1.0,18099.0,862.0,11922.0,405348.0,492745.72,33.0,338122.0,-154623.71999999997,10477.088235294117,10246.121212121212,2545.1682352941175,25.352941176470587,-4685.567272727272,-0.4472203695816004,14492.521176470587,-45.73015657070524,2.941176470588235,0.2419846106770797,15491.5,4.545454545454546,STOP,142,312765,15628,2365826,2365826,0.0,1342964.52,1359,988.2005298013245,1188340.8,44.0,51.0,33.0,90.0,79.0,5.0,5.0,5.0,0.0,24.5,393426.0,16058.204081632653,A,Z
985312532,18,434722.0,103633.38,472107.62,2.0,70416.0,310.0,17966.0,323388.0,427331.38,16.0,364306.0,-63025.380000000005,24151.222222222223,22769.125,5757.41,17.22222222222222,-3939.0862500000003,-0.1631009070164381,23740.632222222222,-17.30012132657711,11.11111111111111,0.07130994060572043,33387.22222222222,22.22222222222222,STOP,55,74923,3093,1861595,1861595,0.0,930764.04,505,1843.0971089108912,867738.66,40.0,20.0,2.0,60.0,37.0,0.0,0.0,0.0,0.0,20.0,287456.0,14372.8,A,Z
985384136,1,24144.0,5850.0,26650.0,0.0,0.0,85.0,21550.0,21550.0,27485.0,1.0,24144.0,-3341.0,24144.0,24144.0,5850.0,85.0,-3341.0,-0.1383780649436713,27485.0,-13.83780649436713,0.0,0.35205434062292906,33479.5,0.0,STOP,12,85256,2864,420088,420088,0.0,227679.97,113,2014.8669911504426,224338.97,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,21550.0,21550.0,C,X
986638247,2,59280.0,14472.0,65928.0,0.0,0.0,31.0,0.0,0.0,14503.0,2.0,59280.0,44777.0,29640.0,29640.0,7236.0,15.5,22388.5,0.7553475033738192,7251.5,75.53475033738192,0.0,0.05229419703103914,40200.0,0.0,SCALE,2,51514,880,95547,95547,0.0,103597.45,32,3237.4203125,148374.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,Z
986670006,2,54524.0,13304.52,60609.479999999996,1.0,37905.0,239.0,20172.0,40344.0,53887.520000000004,1.0,16619.0,-37268.520000000004,27262.0,16619.0,6652.26,119.5,-37268.520000000004,-1.3670501063751743,26943.760000000002,-224.2524820988026,50.0,0.4383390800381483,36550.71428571428,14.285714285714285,STOP,8,70596,1825,302850,340755,0.0,78894.22,71,1111.1861971830986,41625.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20172.0,0.0,B,Z
986693525,2,52242.0,12600.0,57400.0,0.0,0.0,219.0,0.0,0.0,12819.0,2.0,52242.0,39423.0,26121.0,26121.0,6300.0,109.5,19711.5,0.7546227173538532,6409.5,75.46227173538533,0.0,0.4192029401630872,35564.57142857143,0.0,SCALE,15,109279,5065,555020,555020,0.0,419080.17,157,2669.3004458598725,458503.17,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,B,Z
999667986,15,151349.0,35812.03,158072.22,0.0,0.0,716.0,10300.0,154500.0,191028.03,15.0,151349.0,-39679.03,10089.933333333332,10089.933333333332,2387.4686666666666,47.733333333333334,-2645.2686666666664,-0.26216909262697474,12735.202000000001,-26.216909262697474,0.0,0.4730787781881612,13831.2,0.0,STOP,57,58774,4296,807026,807026,0.0,492705.11,538,915.8087546468402,453026.07999999996,12.0,21.0,19.0,29.0,29.0,4.0,4.0,4.0,0.0,8.0,154500.0,19312.5,A,Z
