date,sku,shipped_qty,promo_rub,order_value_rub_sum,shipments,returns_qty,returns_rub
2025-01-26,965922030,1,14.0,15000.0,1,0,0.0
2025-01-26,985032210,0,0.0,0.0,0,1,17730.0
2025-01-26,985165859,1,25.0,20500.0,1,0,0.0
2025-01-26,985312532,0,0.0,0.0,0,1,31239.0
2025-01-26,999667986,1,38.0,13823.0,1,0,0.0
2025-01-27,1090789726,1,29.0,5715.0,1,0,0.0
2025-01-27,1232915937,0,0.0,0.0,0,1,5430.0
2025-01-27,1233002951,1,34.0,5760.0,1,0,0.0
2025-01-27,1255409796,1,30.0,6120.0,1,1,5814.0
2025-01-27,1359397672,1,33.0,5580.0,1,0,0.0
2025-01-27,955086816,1,23.0,19800.0,1,0,0.0
2025-01-27,967621232,1,23.0,33000.0,1,0,0.0
2025-01-27,986670006,4,140.0,144036.0,4,0,0.0
2025-01-27,986771159,1,33.0,16200.0,1,0,0.0
2025-01-28,1090789726,0,0.0,0.0,0,1,5715.0
2025-01-28,1091369491,0,0.0,0.0,0,1,5850.0
2025-01-28,1232915937,1,29.0,5715.0,1,1,5715.0
2025-01-28,1233015711,2,68.0,11520.0,2,0,0.0
2025-01-28,1338292056,0,0.0,0.0,0,1,20211.0
2025-01-28,967621232,0,0.0,0.0,0,1,29319.0
2025-01-28,985312532,1,25.0,36416.0,1,0,0.0
2025-01-29,1091369491,0,0.0,0.0,0,2,10991.0
2025-01-29,1159876183,1,28.0,6300.0,1,0,0.0
2025-01-29,1255409796,1,30.0,6120.0,1,0,0.0
2025-01-29,985122721,0,0.0,0.0,0,1,18600.0
2025-01-29,985165859,0,0.0,0.0,0,1,20500.0
2025-01-29,986693525,1,38.0,31500.0,1,0,0.0
2025-01-30,1007969678,0,0.0,0.0,0,1,13700.0
2025-01-30,1064989520,0,0.0,0.0,0,1,13978.0
2025-01-30,1090789726,0,0.0,0.0,0,1,5430.0
2025-01-30,1091369491,0,0.0,0.0,0,1,6500.0
2025-01-30,1233015711,2,68.0,11520.0,2,0,0.0
2025-01-30,1255409796,1,30.0,6120.0,1,0,0.0
2025-01-30,1619464475,1,39.0,39600.0,1,0,0.0
2025-01-31,1090789726,0,0.0,0.0,0,1,5715.0
2025-01-31,1233015711,2,54.0,12800.0,2,0,0.0
2025-01-31,1255409796,1,22.0,6800.0,1,0,0.0
2025-01-31,1577323801,0,0.0,0.0,0,1,11958.0
2025-01-31,985165859,1,25.0,20500.0,1,1,20500.0
2025-01-31,985189781,1,37.0,14184.0,1,0,0.0
2025-01-31,986693525,1,31.0,35000.0,1,0,0.0
2025-02-01,1159876183,0,0.0,0.0,0,1,6300.0
2025-02-02,1083286259,0,0.0,0.0,0,1,10800.0
2025-02-02,1090789726,0,0.0,0.0,0,1,5715.0
2025-02-02,1091369491,0,0.0,0.0,0,1,5141.0
